序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
436,木蘭植物門,木蘭綱,毛茛目,毛茛科,毛莨屬,高山毛茛,"直立草本，被毛。葉兩形，兩面光滑或近光滑，邊緣略被毛；基生葉3中裂或略深裂，全緣或1-2粗鋸齒緣；莖生葉3深裂或3出複葉。花單生或成聚繖狀；花萼平展；心皮光滑；花托光滑。聚合果長橢圓形；瘦果光滑。 多年生小草本，較少群聚生長。根生葉具長柄，葉圓鈍，常三裂成戟狀，花金黃色，瓣5，5~7月開花。性喜陰涼微潤之環境，合歡山區於克難關及合歡山莊至武嶺之岩壁可見之。",中央山脈中海拔潮濕地區及針葉林中。
437,木蘭植物門,木蘭綱,毛茛目,毛茛科,毛莨屬,毛莨,"近平展或直立草本，密被毛。葉兩形，上表面疏被毛，下表面疏或密被毛；基生葉3中裂或3略深裂，每裂片粗鋸齒或粗齒緣，不再裂。花集成聚繖花序；心皮光滑；花托光滑。聚合果長橢圓或球形；瘦果橢圓狀圓形至倒卵狀圓形。 一年生濕生草本植物，高15至60公分，莖直立、中空。葉根生或莖生，三出複葉，小葉呈三裂狀，葉緣有鈍鋸齒，根生葉具長柄，莖生葉短柄。花腋生或頂生，單出，有梗，萼片5枚，反捲；花瓣5枚，黃色有光澤。瘦果聚生於徑約1公分的扁球形花托上。花期3至6月。",台灣平地至低海拔山區濕地。
438,木蘭植物門,木蘭綱,毛茛目,毛茛科,毛莨屬,蓬萊毛莨,"近平展或直立草本，被毛。葉單形，3深裂幾達基部，每裂片再3至5中裂或略深裂，1-2鋸齒緣，上表面疏被毛，下表面被毛。花集成聚繖花序；心皮光滑；花托光滑。聚合果長橢圓形；瘦果光滑，兩側凸起。 多年生小草本，根生葉三裂，花金黃艷麗，單朵花具長柄從葉腋抽出，花瓣圓鈍，花期6~8月。性喜陽光，於路旁岩屑地或邊坡可見之，常群聚生長。另有鹿場毛茛(台灣毛茛；R. taiwanensis Hay.)葉質地較薄，花較小，花瓣較瘦長。",中央山脈高海拔之開闊地或向陽坡面。
439,木蘭植物門,木蘭綱,毛茛目,毛茛科,毛莨屬,禺毛茛,"直立草本，高12-70 cm，密被毛。葉單形，3出複葉或3深裂，頂端小葉或裂片再3略深裂，各小葉或裂片上表面疏被毛，下表面被毛。花集成聚繖花序；心皮光滑；花托光滑。聚合果球形；瘦果光滑，扁平，倒卵狀圓形。",全島低至高海拔潮濕地。
440,木蘭植物門,木蘭綱,毛茛目,毛茛科,金蓮花屬,台灣金蓮花,"莖光滑。葉掌狀深裂，裂片5-7。花金黃色或橘黃。 多年生直立草本，莖光滑，約30cm高。莖生葉具長柄，掌狀5~7裂。花金黃耀眼，常單獨頂生，於6月可見。性喜潮濕而陽光適中處，特產台灣，目前之採集紀錄為大霸尖山、奇萊山與合歡山區，其族群量呈區域性集中分布，數量不多，宜進行棲地保育並監測。",北部高海拔山區。
441,木蘭植物門,木蘭綱,毛茛目,毛茛科,銀蓮花屬,小白頭翁,"直立草本。3出複葉，中央小葉長於5 cm，兩側小葉歪斜，3深裂或不裂。 多年生草本，具走莖且被絹毛。葉簇生，三出，葉柄長6~10 cm且抱莖。繖房花序頂生，萼片5，卵形，紫黃色。瘦果球形，集生。","主要生長於台灣海拔800~3,200 m山區林緣、開闊地或路旁，頗為常見。"
442,木蘭植物門,木蘭綱,毛茛目,毛茛科,銀蓮花屬,匍枝銀蓮花,"小枝蔓性。3出複葉，小葉近羽狀深裂或3小葉深裂，中央者短於3.5 cm。 多年生小草本，根生羽狀複葉。花無花瓣，花萼白色5枚，花瓣狀，雄蕊多數黃     色，4~6月開放。性喜陰涼略溼之環境，可於台灣冷杉林下或小溪旁見之。",北部高海拔山區森林中。
443,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,柱果鐵線蓮,莖光滑。羽狀或2回羽狀複葉，革質；小葉5或9，有時7，橢圓形，卵形或長橢圓形，有時披針形，先端銳尖或漸尖，全緣，光滑，3出或5出脈。,全島中海拔地區林緣及開闊地。
444,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,高山鐵線蓮,"直立落葉小灌木；莖成熟時光滑。3出或羽狀複葉，紙質；小葉3至5，卵形至橢圓形，先端漸尖，基部1至3淺裂，不規則鋸齒緣，兩面疏被毛，5出脈。花灰藍色或紫色，筒狀，先端反捲；萼片4；雄蕊光滑，或上面疏被毛。 多年生落葉性匍匐小灌木，看似叢生。葉3 出或羽狀，小葉不規則鋸齒緣。花闊鐘形，單朵，淡紫色，具長梗，突出於葉叢，6~7月可見。性喜陽光充足之開闊地或岩屑地，合歡山區量少，克難關附近岩壁有之。",東部或東北部高海拔山區。
445,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,台灣草牡丹,直立落葉灌木；莖成熟時光滑。3出複葉，紙質；小葉3，闊卵形，卵形至橢圓形，先端漸尖，基部3-5淺裂，鋸齒緣或粗鋸齒緣，上表面近或光滑，下表面被毛，5出脈。花粉紅色或灰紅色；萼片4；雄蕊上表面光滑，下表面被毛。特有種。,特有種。中央山脈中海拔之開闊地。
446,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,繡球藤,"莖光滑。3出複葉，有時羽狀複葉，紙質；小葉3至5，卵形或卵狀披針形，先端漸尖，兩面被毛，3出脈。花白色，平展；萼片4；雄蕊光滑。 多年生蔓性木質藤本，三出複葉。花簇生於葉腋，然花梗伸長突出於葉面，花萼     4枚，白色，大而明顯，花瓣狀，花期為5~6月。性喜陽光，於路旁之灌叢或矮     樹上可見之。",中央山脈高海拔地區草生地，灌叢緣。
447,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,銹毛鐵線蓮,莖密被銹色或金黃色柔毛。3出複葉；小葉3，卵狀橢圓形或卵狀披針形，先端漸尖或銳尖，基部不裂或稀3淺裂，齒或鋸齒緣，上表面被銹色柔毛，下表面密被銹色柔毛。花金黃色，鐘形；萼片4；雄蕊被毛。,全島低中海拔地區林緣、溪流旁或開闊地。
448,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,小木通,"莖光滑。2回3出複葉，紙質，葉柄基部癒合且膨大；小葉9至21，或多，卵形或卵狀披針形，先端漸尖或銳尖，基部1-3淺裂，鋸齒至重鋸齒緣，上表面近光滑，下表面光滑或沿脈疏被毛，3至5出脈。花紅或白色；萼片4；雄蕊被毛。 多年生蔓性草本，葉羽狀複葉。花開於10~11月，無花瓣，花萼暗紫色，鐘形下     垂。性喜冷涼環境，合歡山區於林道旁之樹下偶可見之。",全島中高海拔山區林緣或開闊地。
449,木蘭植物門,木蘭綱,毛茛目,毛茛科,鐵線蓮屬,串鼻龍,莖密被毛。3出、2回3出或羽狀複葉，紙質；小葉3-9，三角形或橢圓形，先端漸尖，基部鈍或3深裂，粗鋸齒緣，上表面疏被毛或光滑，下表面被毛，3出脈。花黃綠或灰黃色；萼片4；雄蕊光滑。,全島低中海拔林緣及開闊地。
450,木蘭植物門,木蘭綱,毛茛目,毛茛科,黃連屬,五葉黃連,葉掌狀深裂，頂生裂片菱形，3或多片淺裂，裂片尖凸鋸齒緣，兩面光滑。,中北部中海拔山區之森林中潮濕地上。
451,木蘭植物門,木蘭綱,毛茛目,清風藤科,泡花樹屬,山豬肉,"喬木。奇數羽狀複葉，幼時呈豬肝色，羽軸豬肝色或略淡；成熟小葉革質，長橢圓披針形，長3-15 cm，寬2-3.5 cm，漸尖至尾狀漸尖，通常刺狀鋸齒緣，稀全緣。花序初具鏽色毛，漸變無毛。",北、中部低至中海拔地區。
452,木蘭植物門,木蘭綱,毛茛目,清風藤科,泡花樹屬,筆羅子,"小喬木。葉革質，下表面密生鏽色毛，上表面無毛 (脈除外)，先端鈍，疏細鋸齒緣。花序大，長於葉片，密生鏽色毛；花部5數。",全島低至中海拔地區散生。
453,木蘭植物門,木蘭綱,毛茛目,清風藤科,泡花樹屬,綠樟,"喬木。葉光滑無毛，硬革質，上面光亮，長橢圓至長橢圓披針形，長8-11 cm，寬2.5-4 cm，漸尖至尾狀漸尖，幾全緣；葉柄長5-10 cm。花序長達15 cm，具鏽色柔毛；萼片3，毛緣；花瓣3。",全島低至中海拔地區散生。
454,木蘭植物門,木蘭綱,毛茛目,清風藤科,清風藤屬,台灣清風藤,"攀緣灌木；小枝有毛。葉長橢圓形，長6-10 cm，寬2-3.5 cm，先端銳尖，下表面略具毛，上表面中脈上有微毛。聚繖花序有花3朵；花梗及花柄絲狀，有毛。",北部。
455,木蘭植物門,木蘭綱,毛茛目,清風藤科,清風藤屬,阿里山清風藤,"攀緣灌木。葉卵狀長橢圓形，長4-6 cm，寬2-3 cm，全緣至不明顯細齒緣，先端銳尖或短漸尖，兩面無毛。花1-2朵；花柄細長，無毛。",特產中高海拔地區
456,木蘭植物門,木蘭綱,毛茛目,防己科,千金藤屬,大還魂,葉膜質，卵圓形，基部平截至圓。花序單一頭狀，有花盤。果扁闊卵形。,全省中低海拔山區。
457,木蘭植物門,木蘭綱,毛茛目,防己科,木防己屬,木防己,"攀緣灌木，小枝有毛。葉形變化大，長3-8 cm，先端尖，鈍或略凹。",全島低海拔地區。
458,木蘭植物門,木蘭綱,毛茛目,防己科,蓬萊藤屬,蓬萊藤,葉紙質，寬三角狀卵形，基部略心形或平截，葉脈基出3-5條，側脈2-3對，有葉柄。花小，集合成圓錐花序；花萼片外表有柔毛，卵狀橢圓形。,分佈全島低海拔地區。
459,木蘭植物門,木蘭綱,水馬齒目,水馬齒科,水馬齒屬,日本水馬齒,"葉倒卵形或卵狀圓形，長3-12 mm，寬2-4 mm，先端圓形至鈍形，全緣，3出脈。",常見於北部及中部地區之濕地上。
460,木蘭植物門,木蘭綱,水馬齒目,水馬齒科,水馬齒屬,水馬齒,"水中葉線形，長約1 cm，寬1.5 mm，1或3出脈；浮水及挺水葉倒卵形或長橢圓形，長6-10 mm，寬2-5 mm，圓形至凹缺，楔形或向基部漸尖，3脈。果實橢圓形至倒卵形，邊緣具翼，上端翼最寬，長大於寬。       一年生浮葉性草本；莖節常生出不定根。葉對生，浮水葉卵形，長0.5 ~ 0.8 cm，寬約0.4 cm，沈水葉線形，長約0.6 cm。花白色，腋生。果為瘦果。",常見於北部及中部地區溝渠及水田中。
461,木蘭植物門,木蘭綱,水馬齒目,水馬齒科,水馬齒屬,凹果水馬齒,"葉倒披針或匙形，長3-5 mm，寬0.3-1 mm。雌花具柄。果下端具狹長突起。",台北近郊之水田中。
462,木蘭植物門,木蘭綱,無患子目,楝科,山楝屬,穗花樹蘭,"屬特徵－小喬木或灌木。羽狀複葉，小葉歪。穗狀花序 (雌) 或其組成之圓錐花序 (雄)。雄花花萼5裂；花瓣3，下半部與雄蕊筒合生；雄蕊3-8，雄蕊筒球形。雌花子房3 (4) 室，柱頭膨大呈三角形。 種特徵－ 喬木。小枝光滑，幼時帶紅褐色。小葉5-7對，對生，革質，卵狀橢圓形至橢圓形，長7-14 cm，寬4-5 cm，先端短漸尖，頭略鈍，基部歪，兩面光滑；小葉柄長2-3 mm。",恆春半島及蘭嶼。
463,木蘭植物門,木蘭綱,無患子目,楝科,擬樫木屬,蘭嶼擬樫木,"屬特徵－   喬木。羽狀複葉，頂端具假芽。花單性，成圓錐花序或聚繖花序。萼杯形，4-5裂；花瓣3-5；雄花筒管狀；雄蕊與筒裂片互生；子房2-7室。蒴果，2-5裂。 種特徵－中喬木；芽被毛。小葉5-6對，葉軸被毛，具透明腺點，革質，倒披針形或卵狀長橢圓形，長11-15 cm，寬3-4.5 cm；小葉柄長約5 mm。果球形，直徑約4 cm，3裂。",蘭嶼。
464,木蘭植物門,木蘭綱,無患子目,楝科,椌木屬,大花堅木,"幼枝被毛，漸脫落。小葉6-7對，近長橢圓形，先端短漸尖；小葉柄長1-3 mm。",蘭嶼。
465,木蘭植物門,木蘭綱,無患子目,楝科,椌木屬,紅果椌木,"小葉3-4對，倒卵狀長橢圓形或卵狀長橢圓形，先端銳尖至鈍；小葉柄長約10 mm。",南部低海拔森林中。
466,木蘭植物門,木蘭綱,無患子目,楝科,椌木屬,小葉堅木,"小葉2-3對，橢圓或倒卵形，先端具短尾；小葉柄長約5 mm。",蘭嶼。
467,木蘭植物門,木蘭綱,無患子目,楝科,椌木屬,蘭嶼椌木,"小葉4-5對，倒卵狀橢圓形或倒卵狀長橢圓形，先端具短突；小葉柄長5-15 mm。",蘭嶼。
468,木蘭植物門,木蘭綱,無患子目,楝科,楝屬,楝,"屬特徵－ 落葉喬木。2-3回羽狀複葉，小葉鋸齒緣。腋生圓錐花序。花表面被星狀白粉；萼5-6裂；花瓣5-6；雄蕊筒具10-12條紋，雄蕊10-12；子房3-6室。核果。 種特徵－芽與幼枝被白色或褐色粉垢。小葉卵狀長橢圓形。果卵形。",全島低海拔地區常見。
469,木蘭植物門,木蘭綱,無患子目,楝科,樹蘭屬,紅柴,"中喬木；小枝、葉與花序密被銀白色星狀鱗片。小葉3-5，倒卵形，長4-8 cm，寬2-3 cm；小葉柄長5-10 mm。果近球形，直徑約1 cm。",恆春半島沿海岸附近地區。
470,木蘭植物門,木蘭綱,無患子目,楝科,樹蘭屬,蘭嶼樹蘭,"中喬木；小枝密被銀白色星狀鱗片。小葉5-6，橢圓或倒卵形，長2.5-7.5 cm，寬2-2.5 cm；小葉柄長3-6 mm。果倒卵形，直徑約2.2 cm。",蘭嶼。
471,木蘭植物門,木蘭綱,無患子目,楝科,樹蘭屬,大葉樹蘭,"小喬木；小枝密被銹色鱗片。小葉5-7，倒卵狀橢圓形或長橢圓形，長8-15 cm，寬4-8 cm；小葉柄長8-12 mm。果橢圓形，直徑約1.5 cm。",屏東南仁山及台東蘭嶼。
472,木蘭植物門,木蘭綱,無患子目,槭樹科,楓樹屬,青楓,"小枝光滑。葉掌狀深5裂，裂片三角狀披針形至三角狀卵形，葉基平截或心形，鋸齒緣。      落葉大喬木，枝及幼樹幹皮綠色。葉對生，紙質，輪廓闊圓形，掌狀5裂，裂片三角狀披針形，不整齊鋸齒緣，基部截形，柄長3~5cm，葉落前常轉紅。聚繖狀圓錐花序頂生，翅果，果翅倒披針狀長橢圓形，長2~2.5cm，翅脈明顯。特產台灣全島山麓至海拔2000m闊葉樹林中。",全島中海拔森林中，常見。
473,木蘭植物門,木蘭綱,無患子目,槭樹科,楓樹屬,樟葉槭,"幼枝被透明彎毛，隨即光滑。葉革質，卵形，長橢圓形或長橢圓狀倒披針形，長2.5-13 cm，寬1-4 cm，先端尾狀漸尖或短尾狀突尖，基部略心形、圓、鈍或楔形，全緣，下表面常灰或粉白色，略呈基出3主脈或羽脈。 常綠大喬木。因葉片背部粉白及具有不明顯之三出脈與樟葉形似而得名。花白或黃白色，細小不顯眼。果實具薄翅一對。本種雖是槭樹科的一員，但卻是終年常綠。",全島低中海拔地區森林中。
474,木蘭植物門,木蘭綱,無患子目,槭樹科,楓樹屬,尖葉槭,"葉不裂或略呈淺3裂，卵狀披針形或卵形，長6-10 cm，寬3-5 cm，先端長尾狀，基部圓、鈍或略呈心形，鋸齒緣。","中北部2,000至2,500 m高海拔地區。"
475,木蘭植物門,木蘭綱,無患子目,槭樹科,楓樹屬,台灣紅榨槭,"小枝光滑。葉淺5裂，中間裂片闊三角狀或闊卵狀三角形，先端尾狀漸尖，葉基近心形，重鋸齒緣；葉柄帶紅色。    落葉喬木，葉心臟形，嫩時紅色，對生，葉身長8~12cm，5淺裂，鋸齒緣或近重鋸緣。葉柄長6~10cm，淡紅色，扁平，有溝。果具翅，長10~12mm，寬5~6mm，兩兩對生。秋冬時節葉色轉黃紅，遍山似火極具觀賞價值，為重要的觀葉植物。",中央山脈中海拔森林中。
476,木蘭植物門,木蘭綱,無患子目,漆樹科,大果漆樹屬,台東漆樹,"葉叢生枝端，橢圓狀披針形，長30-45 cm，寬8-12 cm，先端銳尖；葉柄長4.5-6 cm。花5數。果橢圓狀，長3 cm。",恆春、蘭嶼、綠島及東海岸近海叢林中。
477,木蘭植物門,木蘭綱,無患子目,漆樹科,大果漆樹屬,鈍葉大果漆,"枝圓，淡褐色。葉長橢圓形，長8-18 cm，寬3.4-6 cm，先端圓或鈍，稀銳尖，無毛或沿中脈有極少數毛；葉柄長1.5-2.5 cm。花兩性，5-6數。果扁卵狀，長2 cm。",僅產於蘭嶼。
478,木蘭植物門,木蘭綱,無患子目,漆樹科,漆樹屬,台灣藤漆,"落葉性攀緣灌木。小葉長3 cm，頂小葉長橢圓狀卵形，先端銳尖或短漸尖，全緣。花序腋生。果寬扁球狀，徑約5 mm，被有長毛。",中、高海拔地區。
479,木蘭植物門,木蘭綱,無患子目,漆樹科,漆樹屬,木蠟樹,"落葉喬木，小枝無毛。奇數羽狀複葉；小葉7-13，側小葉對生或近對生，長橢圓披針形，長6-12 cm，寬2.5-3.5 cm，先端漸尖，全緣。花序腋生。核果扁球狀，徑約8 mm。",低至中海拔地區。
480,木蘭植物門,木蘭綱,無患子目,漆樹科,漆樹屬,裏白漆,"喬木。小葉11-17，卵狀披針形，長5-7.5 cm，先端銳尖，基部歪，上表面無毛或脈上有些毛，下表面有白色氈毛。花序頂生，有毛。果被淡紅色柔毛。",僅見於中部八仙山中海拔地區。
481,木蘭植物門,木蘭綱,無患子目,漆樹科,漆樹屬,野漆樹,"落葉小喬木，小枝有毛。奇數羽狀複葉；小葉7-13，卵形，長4-5 cm，寬2-2.3 cm，先端銳尖至漸尖。花序腋生。果球形，徑約1 cm。",中、北部低海拔地區。
482,木蘭植物門,木蘭綱,無患子目,漆樹科,黃連木屬,黃連木,"屬特徵－     喬木或灌木。羽狀複葉或3出複葉。腋生總狀或圓錐花序，雌雄異株。花無花瓣；雄花萼3-5裂，雄蕊3-4；雌花萼片3-4，子房1室，花柱3裂，柱頭頭狀。果乾燥。 種特徵－大喬木，半落葉性。奇數羽狀複葉具6-10對小葉；小葉歪基，長4-6 cm，寬1.2-1.5 cm，先端漸尖，全緣，近無柄。圓錐花序，具軟毛。果球形，徑約3-4 mm，淡紅褐色。              落葉喬木，樹皮呈鱗片狀剝落。葉為奇數羽狀複葉，互生。小葉7~10對，披針形或卵狀披針形，長4~6cm，全緣，漸尖頭，",中、南部低海拔地區。
483,木蘭植物門,木蘭綱,無患子目,無患子科,倒地鈴屬,倒地鈴,"屬特徵－     藤本，莖纖細，多分枝，具捲鬚。二回三出複葉；小葉有粗齒或裂片。聚繖花序具長梗，最下一對分枝形成捲鬚。花4數；雄蕊8；子房3室。蒴果，囊狀。 種特徵－莖有溝，略有毛。小葉卵形至披針形，長1.5-6 cm。聚繖花序腋生。花淡綠白色；外側2枚萼片，較小；花柱3分枝。果倒卵狀，具3稜。",平地至低海拔向陽處。
484,木蘭植物門,木蘭綱,無患子目,無患子科,欒樹屬,台灣欒樹,"小葉披針形至長橢圓披針形，大小變異大，多數長6-10 cm，寬2-3 cm，漸尖頭，細鋸齒緣。花序無毛，金黃色。花5數；雄蕊約8枚。果紅褐色。       落葉中喬木，葉二回羽狀複葉，長可達50cm，總柄及葉柄均被短柔毛。小葉互生，長卵形，淺鋸齒，長6~8cm。大型圓錐花叢頂生，花黃色，甚亮麗。蒴果膨大膜質，鮮紅色，三瓣裂，每室一種子，圓而黑色。特產台灣闊葉樹林陽光充足處。",特產本島低海拔日照強的森林中。
485,木蘭植物門,木蘭綱,無患子目,無患子科,止宮樹屬,止宮樹,"屬特徵－     小喬木或灌木。葉1-3小葉，全緣或鋸齒緣，無托葉。腋生總狀花序在基部時有少數分枝。花雜性至雌雄異株，白或淡黃；萼片兩對，帽狀，覆瓦狀；花瓣4，通常有4腺體與花瓣對生；雄蕊8。果為核果。 種特徵－小枝有明顯皮孔。葉三出；葉柄長約4 cm；小葉卵形至橢圓形，長8-13 cm，寬5.5-8.5 cm，銳尖頭，疏鋸齒緣至鈍齒緣，兩面無毛。核果卵形，橙色，徑6-8 mm。",恆春半島海岸有較大的族群，東海岸亦有少數個體。
486,木蘭植物門,木蘭綱,無患子目,無患子科,無患子屬,毛瓣無患子,"小葉7-12對，卵狀披針形，長7-13 cm，兩面光滑。萼片5。果徑約2.5 cm。",產地不詳。
487,木蘭植物門,木蘭綱,無患子目,無患子科,番龍眼屬,番龍眼,"屬特徵－     喬木。偶數羽狀複葉；小葉近全緣至齒緣，愈近葉柄處愈小，幾成托葉狀。頂生或腋生的圓錐花序。花5數。子房2-3室，通常僅1室發育。離生核果1-2，球狀或橢圓狀；種子具黏質假種皮。 種特徵－ 板根高約1 m。小葉8-22枚，長橢圓至長橢圓狀披針形，長16-20 cm，寬4-8 cm，漸尖至尾尖，疏齒緣至近全緣。果球狀，徑約3.5 cm，熟時褐色。","產蘭嶼雨林中 (註：本種可能自東南亞引種栽種)。"
488,木蘭植物門,木蘭綱,無患子目,無患子科,賽欒華屬,賽欒華,"屬特徵－   偶數羽狀複葉，互生；小葉披針形，鋸齒緣，無毛。聚繖花序成圓錐狀，頂生，有密毛。花單性，異株，5數；雄蕊約8枚，花絲長為花瓣的兩倍。蒴果橢圓狀，3室，有時1-2室不發育，革質。 種特徵－小葉長8-12 cm，寬3 cm。果長約7 mm。",低海拔森林，稀有。
489,木蘭植物門,木蘭綱,無患子目,無患子科,車桑子屬,車桑子,"屬特徵－     灌木，稀喬木狀。單葉或羽狀複葉，互生。總狀或圓錐花序頂生及側生。花萼2-5裂，覆瓦狀；花瓣缺；雄蕊5-10，通常8。蒴果2-6瓣，膜質或革質，瓣背有翼。 種特徵－小喬木或灌木，幹直，上部多分枝；小枝有稜。單葉，革質，兩面無毛，倒披針形至線狀倒披針形，長6-12 cm，寬0.5-1.5 cm，銳尖至漸尖頭，全緣。",低至中海拔山坡向陽乾燥處或河床地。
490,木蘭植物門,木蘭綱,無患子目,省沽油科,山香圓屬,三葉山香圓,"喬木。三出複葉，稀單葉混生；葉柄兩端不明顯膨大；小葉亞革質，長橢圓至長橢圓披針形，長5-17 cm，寬3-6 cm，先端銳尖至漸尖。果徑約1 cm。",中南部低至中海拔闊葉林中。
491,木蘭植物門,木蘭綱,無患子目,省沽油科,山香圓屬,山香圓,"小喬木。單葉，革質，長橢圓至披針形，大小變異大，長8-12 cm，寬4-7 cm，先端漸尖至鈍，基部楔形；葉柄兩端略膨大，先端略屈曲。果徑約0.8 cm。       常綠喬木。葉對生，披針形或長橢圓形，漸尖或鈍頭，有鋸齒，長8~10cm。葉柄長3~5cm，兩端略膨大。果球形，淡綠色或淡黃紫色，徑8mm。","產全島海拔1,500m以下林中，在北部地區相當普遍。"
492,木蘭植物門,木蘭綱,無患子目,省沽油科,山香圓屬,羽葉山香圓,"喬木。奇數羽狀複葉；小葉5-9，厚革質，卵至橢圓形，長10-15 cm，寬5-7 cm，先端突尖，基部長漸尖，鈍齒緣。圓錐花序頂生。果徑約1.7 cm。",產於蘭嶼及綠島森林中。
493,木蘭植物門,木蘭綱,無患子目,省沽油科,野鴉椿屬,野鴨椿,"屬特徵－   落葉小喬木。奇數羽狀複葉，有托葉；小葉對生，5-7枚，細鋸齒緣，紙質，；羽軸常呈淡紅色。圓錐花序。蓇葖果，紅熟；種子1-3，黑色。 種特徵－小葉卵至卵狀披針形，5-8 cm長，3-4 cm寬，先端銳尖。",僅見於台北附近的低至中海拔闊葉林中。
494,木蘭植物門,木蘭綱,無患子目,苦木科,苦樹屬,苦樹,"屬特徵－ 具極苦澀味的喬木或灌木。奇數羽狀複葉，極大。圓錐花序。雌雄異株或雜性；花部4-5數。核果1-3，肉質或革質。 種特徵－ 枝淡紅褐色。葉長25-35 cm；小葉9-15，卵或長橢圓狀卵形，長4-10 cm，寬1.5-3.5 cm，漸尖頭。繖房花序排成圓錐狀。果球狀，徑5-7 mm，藍至紅色。","僅知分布於南投、花蓮及霧台等地海拔300-1,200 m的闊葉林中。"
495,木蘭植物門,木蘭綱,無患子目,苦木科,鴉膽子屬,鴉膽子,"屬特徵－ 具苦澀味的喬木或灌木。常奇數羽狀複葉。圓錐花序。花極小；萼微小，4裂，覆瓦狀；花瓣4，微小，線形，覆瓦狀；花盤4瓣；雄蕊4。小核果4，完全分離。 種特徵－小枝通常有毛。小葉7-9，側小葉對生，卵狀披 針形，長5-6 cm，寬1.5-2 cm，漸尖頭，鈍齒狀 齒 牙緣。小核果柱狀橢圓狀，長6-8 mm，黑色。",中、南部低山及河岸自生。
496,木蘭植物門,木蘭綱,無患子目,苦木科,,羅氏鹽膚木,"落葉性小喬木，小枝有絨毛。奇數羽狀複葉；小葉9-17，側小葉對生，卵狀披針形，長10-15 cm，寬3-4 cm，先端銳尖或鈍，鋸齒緣。雌雄異株，花序頂生。果扁球狀，徑5-6 mm。",低至中海拔向陽地區。
497,木蘭植物門,木蘭綱,無患子目,蒺藜科,蒺藜屬,蒺藜,"長蔓性、多毛的草本。複葉長達5 cm；托葉4；小葉5-8對，歪基，先端銳尖至鈍，明顯具緣毛，被貼伏毛。果的每一分果具2長2短的芒刺。",產於澎湖及中南部海濱沙地。
498,木蘭植物門,木蘭綱,無患子目,鐘萼木科,鐘萼木屬,鐘萼木,"科特徵－落葉喬木。一回奇數羽狀複葉，互生，無托葉，小葉對生。花序總狀，頂生。花兩性，周位；萼筒鐘狀；花瓣5，於萼筒上；雄蕊8枚；雌蕊3室，花柱單一。蒴果，常自近果柄基部處裂開；種子橙紅色。 種特徵－基部多萌蘗而呈灌木狀；小枝被褐色毛。小葉橢圓至卵橢圓形，長7-14 cm，寬3-5 cm，歪基，下表面具白色毛。花序具褐色毛。花瓣粉紅色。果卵狀。",北部低海拔透光良好的次生林中。
499,木蘭植物門,木蘭綱,牻牛兒苗目,牻牛兒苗科,老鸛草屬,漢紅魚腥草,"莖直立，被疏柔毛及腺毛。葉3全裂，每裂片2回羽裂。花2朵簇生；花梗長4-9 mm。",中央山脈中海拔地區。
500,木蘭植物門,木蘭綱,牻牛兒苗目,牻牛兒苗科,老鸛草屬,老鸛草,"莖下部光滑。葉三角形，3深裂。花2朵簇生；花梗長1-3 cm。",台中思源啞口一帶。
501,木蘭植物門,木蘭綱,牻牛兒苗目,牻牛兒苗科,老鸛草屬,山牻牛兒苗,"具走莖，被疏柔毛。葉圓形，3-5深裂。花單生；花梗長0.6-6.2 cm。      多年生匍匐草本，全株被柔毛。葉具長柄，葉身近圓形，3-5深裂。花單生，極     淡粉紅至白色，7~9月開花，11月果裂。性喜陰濕，山澗旁或山溝、溪邊可見之。",中央山脈中高海拔地區。
502,木蘭植物門,木蘭綱,牻牛兒苗目,牻牛兒苗科,老鸛草屬,單花牻牛兒苗,"莖直立，被疏柔毛；節上具2托葉。葉圓腎形，3-5略深裂。花單生；花梗長2.5-3.5 cm。      多年生宿根性草本，葉近圓形，具3~5深裂，枯萎前轉紅。6~9月開花，花淡粉     紅色具紫色條紋，單朵頂生，具長柄。生長範圍廣闊，於路邊草地、山谷溪畔皆     可見之。",中央山脈高海拔地區。
503,木蘭植物門,木蘭綱,牻牛兒苗目,牻牛兒苗科,老鸛草屬,野老鸛草,"莖直立，被疏柔毛；節上具4托葉。葉圓心形，5深裂。花2朵簇生；花梗長4-9 mm。",原產北美洲。分佈於桃園及南投。
504,木蘭植物門,木蘭綱,牻牛兒苗目,酢漿草科,羞禮花屬,羞禮花,"屬特徵-單一主幹或具分枝的草本。偶數羽狀複葉，簇生莖頂；小葉對生；葉柄基部膨大。花排成繖形花序，黃色；雄蕊10；花絲5長5短。 種特徵-株高約30 cm；莖多毛。葉長6-9 cm；小葉對碰觸相當敏感而閉合，18-30枚，歪長橢圓形，長約1 cm；葉柄具密毛。花序具一長約12 cm的柄。",產本島南部低海拔。
